adult,backdrop_path,created_by,episode_run_time,first_air_date,genres,homepage,id,in_production,languages,last_air_date,last_episode_to_air,name,next_episode_to_air,networks,number_of_episodes,number_of_seasons,origin_country,original_language,original_name,overview,popularity,poster_path,production_companies,production_countries,seasons,spoken_languages,status,tagline,type,vote_average,vote_count
FALSE,,"[{'id': 115009, 'credit_id': '5f8815f339549a0038b3d4a0', 'name': 'Durul Taylan', 'original_name': 'Durul Taylan', 'gender': 2, 'profile_path': '/q2RAboLaw8uIYZb91yRtYxqUQo2.jpg'}, {'id': 115010, 'credit_id': '5f8815edd4b9d900372a6f0b', 'name': 'Yağmur Taylan', 'original_name': 'Yağmur Taylan', 'gender': 2, 'profile_path': '/z6EqjtVcpF0G9NMPpbTSCnX4eIL.jpg'}]",[45],1999-01-01,"[{'id': 9648, 'name': 'Mystery'}]",,79943,FALSE,['tr'],1999-01-01,"{'id': 1499514, 'name': 'Episode 1', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '1999-01-01', 'episode_number': 1, 'episode_type': 'standard', 'production_code': '', 'runtime': 45, 'season_number': 1, 'show_id': 79943, 'still_path': None}",Sır Dosyası,,[],5,1,[],tr,Sır Dosyası,,0.4862,,[],[],"[{'air_date': '1999-01-01', 'episode_count': 5, 'id': 104624, 'name': 'Season 1', 'overview': '', 'poster_path': None, 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Turkish', 'iso_639_1': 'tr', 'name': 'Türkçe'}]",Ended,,Miniseries,7,1
FALSE,/jUPFNjJ2Ewu3xJFIEGcuuNE7gx3.jpg,[],[],2021-04-22,"[{'id': 80, 'name': 'Crime'}, {'id': 99, 'name': 'Documentary'}]",https://abc13.com/texastruecrime/,154124,TRUE,['en'],2023-07-20,"{'id': 4635526, 'name': 'Pure Evil', 'overview': '30 years ago this summer, 14-year-old Jennifer Ertman and 16-year-old Elizabeth Pena decided to take a shortcut home through T.C. Jester Park. They walked straight into unimaginable horror.', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2023-07-20', 'episode_number': 5, 'episode_type': 'standard', 'production_code': '', 'runtime': 49, 'season_number': 2, 'show_id': 154124, 'still_path': None}",Texas True Crime,,"[{'id': 453, 'logo_path': '/pqUTCleNUiTLAVlelGxUgWn1ELh.png', 'name': 'Hulu', 'origin_country': 'US'}]",15,4,['US'],en,Texas True Crime,"Everything is bigger in Texas, even the crime. The Lone Star state is home to some of the most brutal crimes in the country, and the most bizarre and outrageous. Texas True Crime takes you on a journey through firsthand bone-chilling accounts and never-before-seen photos and video from the investigations.",0.1548,/o68TidGux8piEvRu0gjUzHxUupp.jpg,[],[],"[{'air_date': '2021-04-21', 'episode_count': 4, 'id': 237176, 'name': 'Season 1', 'overview': 'Everything is bigger in Texas, even the crime. The Lone Star state is home to some of the most brutal crimes in the country, and the most bizarre and outrageous. Texas True Crimes takes you on a journey through firsthand bone-chilling accounts and never-before-seen photos and videos from investigators.', 'poster_path': None, 'season_number': 1, 'vote_average': 0.0}, {'air_date': '2022-02-10', 'episode_count': 5, 'id': 352003, 'name': 'Season 2', 'overview': 'Everything is bigger in Texas, even the crime. The Lone Star state is home to some of the most brutal crimes in the country, and the most bizarre and outrageous. Texas True Crimes takes you on a journey through firsthand bone-chilling accounts and never-before-seen photos and videos from investigators.', 'poster_path': None, 'season_number': 2, 'vote_average': 0.0}, {'air_date': None, 'episode_count': 3, 'id': 372155, 'name': 'Season 3', 'overview': 'Everything is bigger in Texas, even the crime. The Lone Star state is home to some of the most brutal crimes in the country, and the most bizarre and outrageous. Texas True Crimes takes you on a journey through firsthand bone-chilling accounts and never-before-seen photos and videos from investigators.', 'poster_path': None, 'season_number': 3, 'vote_average': 0.0}, {'air_date': None, 'episode_count': 3, 'id': 444983, 'name': 'Season 4', 'overview': '', 'poster_path': None, 'season_number': 4, 'vote_average': 0.0}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Returning Series,,Documentary,8,2
FALSE,,"[{'id': 1031828, 'credit_id': '60eddf6511386c0075711169', 'name': 'Katherine Torpey', 'original_name': 'Katherine Torpey', 'gender': 1, 'profile_path': None}, {'id': 3156637, 'credit_id': '60edda376dc50700493e51b1', 'name': 'Marnie Nir', 'original_name': 'Marnie Nir', 'gender': 0, 'profile_path': None}]",[22],2013-11-06,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]",http://www.hulu.com/mother-up,64887,FALSE,['en'],2014-02-26,"{'id': 3072855, 'name': 'Rudi Gets Served', 'overview': 'When her ex, Jeffrey, arrives with divorce papers in hand, Rudi smells a rat. She discovers that he’s trying to marry an elderly heiress – who not only wants Rudi’s husband, but her kids as well. The battle is on.', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2014-02-26', 'episode_number': 13, 'episode_type': 'finale', 'production_code': '', 'runtime': 22, 'season_number': 1, 'show_id': 64887, 'still_path': None}",Mother Up!,,"[{'id': 92, 'logo_path': '/38EhAHYoNzRDFCXAUdF4PEH9Kfl.png', 'name': 'Citytv', 'origin_country': 'CA'}, {'id': 453, 'logo_path': '/pqUTCleNUiTLAVlelGxUgWn1ELh.png', 'name': 'Hulu', 'origin_country': 'US'}]",13,1,['CA'],en,Mother Up!,"Rudi Wilson is a former record executive who decides to move to the suburbs and see if she can hold her own in the world of motherhood. What Rudi finds is that her hard-partying lifestyle, frequent drinking and tendency to use profane language don’t necessarily gel with the lifestyles of her neighbours in the suburbs.",1.0904,/1kJQcMIKsYn6nY7URJbSieGtxFh.jpg,"[{'id': 1756, 'logo_path': '/d7YyNzysIF0lSb4lJRf1ar6MHxi.png', 'name': 'Broadway Video', 'origin_country': 'US'}, {'id': 5743, 'logo_path': '/y8JaCRhsEz4ipl7MWE0ErxWVPYN.png', 'name': 'Breakthrough Entertainment', 'origin_country': 'CA'}, {'id': 67732, 'logo_path': None, 'name': 'Mass Animation', 'origin_country': ''}, {'id': 73757, 'logo_path': '/sPIpX0MDdvYjcI8E4AeNGIYVNWj.png', 'name': 'Bardel Entertainment', 'origin_country': 'CA'}, {'id': 89387, 'logo_path': '/sbMkjZpKBNyZjsYG96xza7dgtXH.png', 'name': 'Rogers Media', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'air_date': '2013-11-06', 'episode_count': 13, 'id': 73182, 'name': 'Season 1', 'overview': 'Rudi Wilson is a former record executive who decides to move to the suburbs and see if she can hold her own in the world of motherhood. What Rudi finds is that her hard-partying lifestyle, frequent drinking and tendency to use profane language don’t necessarily gel with the lifestyles of her neighbours in the suburbs.', 'poster_path': '/10k4TfP4Tu469z0Q6NClk0wTXkM.jpg', 'season_number': 1, 'vote_average': 7.0}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Canceled,,Scripted,4,2
FALSE,,"[{'id': 2040677, 'credit_id': '68dedb794fca5a411af74249', 'name': 'Hu Jianxin', 'original_name': '胡建新', 'gender': 0, 'profile_path': '/nmZBhXKMOe6gITmBUGgYUvQo37P.jpg'}]",[],,"[{'id': 18, 'name': 'Drama'}]",,261473,FALSE,['zh'],,,戊戌风云,,[],20,1,['CN'],zh,戊戌风云,,2.8862,/oIqRZ1nyyWVFzboCFPLsPQk18LX.jpg,"[{'id': 224510, 'logo_path': None, 'name': '北京广播电视台', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}]","[{'air_date': None, 'episode_count': 20, 'id': 406239, 'name': 'Season 1', 'overview': '', 'poster_path': '/oIqRZ1nyyWVFzboCFPLsPQk18LX.jpg', 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Ended,,Scripted,0,0
FALSE,/30RONSlHdV1UArUsBl6KXSK3QyW.jpg,[],[40],2012-09-14,"[{'id': 18, 'name': 'Drama'}, {'id': 10759, 'name': 'Action & Adventure'}]",,44462,FALSE,['zh'],2012-11-12,"{'id': 2525499, 'name': 'Episode 42', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2012-11-12', 'episode_number': 42, 'episode_type': 'finale', 'production_code': '', 'runtime': 40, 'season_number': 1, 'show_id': 44462, 'still_path': None}",The Bride with White Hair,,"[{'id': 952, 'logo_path': '/zJQHSCwHcIGNQlHptJRZpUX88Ro.png', 'name': 'Hunan Television', 'origin_country': 'CN'}]",42,1,['CN'],ko,新白髮魔女傳,"The Bride with White Hair is a Chinese television series very loosely based on Liang Yusheng's novel Baifa Monü Zhuan. Except for some characters' names, the plot is almost completely unrelated to the original story. It was first aired on Hunan Satellite TV on 14 September 2012. Shooting started on 26 April 2012 in Hengdian World Studios, Zhejiang. The series stars Nicky Wu, Ma Su, Louis Fan, Liu Sitong, Li Jie, Guo Zhenni, and Ye Zuxin.",3.8804,/2QqSP3Y3eXTaNJrg5Yonqf4EQh9.jpg,[],"[{'iso_3166_1': 'CN', 'name': 'China'}]","[{'air_date': '2012-09-14', 'episode_count': 42, 'id': 90628, 'name': 'Season 1', 'overview': '', 'poster_path': None, 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Ended,,Scripted,4,2
FALSE,,[],[],2018-02-24,[],,121561,TRUE,['ar'],2018-02-24,"{'id': 2818628, 'name': 'Episode 1', 'overview': ""Sheikha is invited to travel to the house of Ali, Al-Hassan's father. His wife Sabika receives her terribly because of their past memories as she loved Faisal, who loved Sheikha. On the other hand, Sherifa's daughter gets sick and Faisal takes her to the hospital."", 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2018-02-24', 'episode_number': 1, 'episode_type': 'standard', 'production_code': '', 'runtime': None, 'season_number': 1, 'show_id': 121561, 'still_path': None}",The Nakhee (Hummus) Seller,,[],1,1,[],en,بياعة النخي,"The series shows the customs and traditions that prevail in ancient Kuwait, and how these customs affect society so far, through the story of a rich lady whose life turns upside down, and loses allall her possessions and is forced by bad conditions to sell Alnkhi.",0.0261,/mjU6nx56fHXooXBst6QQbbqcOG2.jpg,[],[],"[{'air_date': '2018-02-24', 'episode_count': 1, 'id': 187472, 'name': 'Season 1', 'overview': '', 'poster_path': None, 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]",In Production,,Scripted,0,0
FALSE,,[],[],2017-07-17,[],,239746,TRUE,[],2018-02-12,"{'id': 4929893, 'name': 'Episode 31', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2018-02-12', 'episode_number': 31, 'episode_type': 'standard', 'production_code': '', 'runtime': None, 'season_number': 1, 'show_id': 239746, 'still_path': None}",Jack & Rayane,,[],31,1,['BR'],pt,Jack & Rayane,,0.5171,,[],[],"[{'air_date': '2017-07-17', 'episode_count': 31, 'id': 366149, 'name': 'Season 1', 'overview': '', 'poster_path': None, 'season_number': 1, 'vote_average': 0.0}]",[],Returning Series,,Scripted,0,0
FALSE,/4L2ZooYFqcxSMLGMsz3pZq9fExp.jpg,[],[52],1998-01-01,"[{'id': 99, 'name': 'Documentary'}]",,85334,FALSE,['en'],1998-01-01,"{'id': 1655953, 'name': 'Submarine Inferno', 'overview': 'For years the Soviet Navy sent nuclear-powered fleet ballistic missile submarines to patrol off the American coast. Their missiles took aim at Washington, New York, and other major American cities.', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '1998-01-01', 'episode_number': 3, 'episode_type': 'finale', 'production_code': '', 'runtime': 52, 'season_number': 1, 'show_id': 85334, 'still_path': '/4L2ZooYFqcxSMLGMsz3pZq9fExp.jpg'}",Nuclear Sharks - Cold War Submarine Adventures,,"[{'id': 106, 'logo_path': '/cjw4Msu4fkMWOsV6LlA7x8ZOQ1l.png', 'name': 'Discovery', 'origin_country': 'CA'}]",3,1,['CA'],en,Nuclear Sharks - Cold War Submarine Adventures,"Nuclear Sharks' explores the silent, stealthy symbol of the Cold War. A war waged outside public view. A war about strategy and world domination. A war of technological advancement, with lethal consequences. By the early 1950's, the United States and the Soviet Union are entrenched in a harrowing conflict many fear will bring an end to humanity. This gripping series reveals the stories of submarines sunk to the bottom, their nuclear power plants in meltdown. Such incidents remained closely guarded military secrets both on the American and the Soviet sides.",0.0991,/70xflrRwSfiJvekcY2c4n8jZsbP.jpg,"[{'id': 46887, 'logo_path': None, 'name': 'Cinenova', 'origin_country': 'CA'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'RU', 'name': 'Russia'}]","[{'air_date': '1998-01-01', 'episode_count': 3, 'id': 115118, 'name': 'Season 1', 'overview': ""'Nuclear Sharks' is a chronicle of chilling adventures which, as Cold War secrets are revealed, can only now be told. 'Nuclear Sharks' takes us into the post-Communist Kremlin, where men who once helped define the nuclear submarine conflict can now freely speak about the Soviet strategy. In Washington, the Navy confesses the crucial importance of the nuclear submarine in the effort to puncture the Iron Curtain. NUCLEAR SHARKS tells the story of the men who gave their lives to a hidden war in the silent deep."", 'poster_path': '/70xflrRwSfiJvekcY2c4n8jZsbP.jpg', 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Ended,,Documentary,0,0
FALSE,/qMywRnfi0MzzMfzvWCe6LLb8si0.jpg,[],[],1985-10-11,[],,1141,FALSE,"['es', 'en']",1986-12-01,"{'id': 1090689, 'name': 'Jonah', 'overview': 'The trio find themselves in Israel at the ancient port of Joppa. There they meet the Prophet Jonah who is writing his great experiences for the Bible.', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '1986-12-01', 'episode_number': 10, 'episode_type': 'standard', 'production_code': '', 'runtime': None, 'season_number': 1, 'show_id': 1141, 'still_path': '/4PaGfcwlAwKZLG5yAk4HO4pam0m.jpg'}",The Greatest Adventure: Stories from the Bible,,[],13,1,['US'],en,The Greatest Adventure: Stories from the Bible,"The Greatest Adventure: Stories from the Bible is a television series produced by Hanna-Barbera that tells of three young adventurers—Derek, Margo, and 'their nomad friend' Moki—who travel back in time to watch biblical events take place in the past.",1.0537,/tBfhTJ31BwOGaAbeEhLfugZA9YA.jpg,[],[],"[{'air_date': '1985-10-11', 'episode_count': 13, 'id': 68893, 'name': 'Season 1', 'overview': '', 'poster_path': '/yp3R2uVYlBOjww6acjgjkxPMyto.jpg', 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Ended,,Scripted,6.9,8
FALSE,/2Lin1NLCRXFeLqnWW0otj6lx1Od.jpg,"[{'id': 1961607, 'credit_id': '5a5f057ec3a368385e005047', 'name': 'Erum Binte Shahid', 'original_name': 'Erum Binte Shahid', 'gender': 0, 'profile_path': None}]",[37],2018-01-02,"[{'id': 18, 'name': 'Drama'}]",,76441,FALSE,['ur'],2018-01-02,"{'id': 1420061, 'name': '1', 'overview': 'Hira and Abiha have been abandoned by their father (he is a gambler and didn’t want to take daughters’ responsibility) and raised by their mother in khala’s home along with their cousin Jawad. Abiha is in one sided love of Shahzab, he is their neighbor and childhood friend whereas Hira has always pictured a life with Jawad to which Jawad is completely unaware. Jawad has recently returned from US after finishing his studies to start a life in Pakistan, soon his friend Ujala will arrive from US and with his mother’s agreement they will be married. This would leave Hira heartbroken meanwhile Hira’s father will contact her mother and demands to meet his daughters. As story unfolds new events we will see their mother’s struggle to protect them from their father, Abiha’s struggle to progress in job and help her mother with day to day needs and Hina’s resolve with Jawad once she learns about her father’s true intention and Jawad divorces Ujala.', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2018-01-02', 'episode_number': 1, 'episode_type': 'finale', 'production_code': '', 'runtime': 37, 'season_number': 1, 'show_id': 76441, 'still_path': '/mewNDP47db3VCNjdJRcSUaGckp9.jpg'}",Silsilay,,"[{'id': 1843, 'logo_path': None, 'name': 'Geo Entertainment', 'origin_country': 'PK'}]",1,1,['PK'],en,Silsilay,"Hira and Abiha have been abandoned by their father (he is a gambler and didn’t want to take daughters’ responsibility) and raised by their mother in khala’s home along with their cousin Jawad. Abiha is in one sided love of Shahzab, he is their neighbor and childhood friend whereas Hira has always pictured a life with Jawad to which Jawad is completely unaware.

Jawad has recently returned from US after finishing his studies to start a life in Pakistan, soon his friend Ujala will arrive from US and with his mother’s agreement they will be married. This would leave Hira heartbroken meanwhile Hira’s father will contact her mother and demands to meet his daughters.

As story unfolds new events we will see their mother’s struggle to protect them from their father, Abiha’s struggle to progress in job and help her mother with day to day needs and Hina’s resolve with Jawad once she learns about her father’s true intention and Jawad divorces Ujala.",0.3103,/o1lrBQpQVjECqW4WLW20eFaE1IY.jpg,"[{'id': 99744, 'logo_path': None, 'name': 'DramayBaaz Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'PK', 'name': 'Pakistan'}]","[{'air_date': '2018-01-02', 'episode_count': 1, 'id': 98028, 'name': 'Season 1', 'overview': '', 'poster_path': None, 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Urdu', 'iso_639_1': 'ur', 'name': 'اردو'}]",Ended,,Scripted,9,1
FALSE,/14L3SgMK0r2KqjOJ1bG5T8cdHKt.jpg,[],[60],2019-12-09,"[{'id': 18, 'name': 'Drama'}]",https://www.pts.org.tw/coordinators/,90118,FALSE,['zh'],2019-12-13,"{'id': 1811609, 'name': 'Episode 10', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2019-12-13', 'episode_number': 10, 'episode_type': 'finale', 'production_code': '', 'runtime': 60, 'season_number': 1, 'show_id': 90118, 'still_path': None}",The Coordinators,,"[{'id': 837, 'logo_path': '/qEQ4L4VyAUM4Ea1x1CMrS5JaPOt.png', 'name': 'PTS', 'origin_country': 'TW'}]",10,1,['TW'],zh,生死接線員,"In hospitals, a group of people are helping the families of braindead patients understand organ donation and seek consent for the procedure. They are the transplant coordinators. Wen Yu-du is a new nurse just stepping into the field of organ transplant. She has encountered countless challenges, still she overcomes them with her passion for the work. Yet the biggest challenge for Wen’s career as a transplant coordinator is just about to begin.",1.9977,/d3mNATVN60kQ40kxwPhZcke9WIq.jpg,"[{'id': 108940, 'logo_path': None, 'name': 'Great Dream Pictures', 'origin_country': 'TW'}]","[{'iso_3166_1': 'TW', 'name': 'Taiwan'}]","[{'air_date': '2019-12-09', 'episode_count': 10, 'id': 125553, 'name': 'Season 1', 'overview': '', 'poster_path': '/d3mNATVN60kQ40kxwPhZcke9WIq.jpg', 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Ended,,Scripted,8,1
FALSE,/1Bt9FVsZiFfCyaKTNZTIy2EvowA.jpg,[],[42],2002-08-11,"[{'id': 10764, 'name': 'Reality'}, {'id': 35, 'name': 'Comedy'}]",https://www.mytvsuper.com/en/programme/triodelightsa_111807/TRIO-DELIGHTS%2C-A/,130580,FALSE,['cn'],2002-11-30,"{'id': 3124364, 'name': 'Episode 17', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2002-11-30', 'episode_number': 17, 'episode_type': 'finale', 'production_code': '', 'runtime': 42, 'season_number': 1, 'show_id': 130580, 'still_path': None}",A Trio Delights,,"[{'id': 48, 'logo_path': '/v78f4q6DYdRB8dLj4rQBpqQG8pW.png', 'name': 'TVB Jade', 'origin_country': 'HK'}]",17,1,['HK'],cn,吾係獎門人,,2.5904,/2inRkK2FGxnEM2qg2PD5v0q3dAf.jpg,"[{'id': 79261, 'logo_path': '/4OKzkasr0IV8CSqejjgRfKw7e0m.png', 'name': 'TVB', 'origin_country': 'HK'}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]","[{'air_date': '2002-08-11', 'episode_count': 17, 'id': 204764, 'name': 'Season 1', 'overview': '', 'poster_path': '/k4J6m1LlYNvu6pXURCvnvr4uQ1R.jpg', 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Ended,,Reality,10,1
FALSE,/7uUNToJZVIoM7tRtGpKhGIYphT.jpg,[],[],2025-07-09,"[{'id': 18, 'name': 'Drama'}]",https://v.qq.com/x/cover/mzc00200at7fuvv.html,280107,FALSE,['zh'],2025-07-20,"{'id': 6367091, 'name': 'Episode 20', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2025-07-20', 'episode_number': 20, 'episode_type': 'finale', 'production_code': '', 'runtime': None, 'season_number': 1, 'show_id': 280107, 'still_path': None}",Double Fugue,,"[{'id': 2007, 'logo_path': '/6Lfll43wYG2eyereOBjpYFRSGs4.png', 'name': 'Tencent Video', 'origin_country': 'CN'}]",20,1,['CN'],zh,二重赋格,"A brilliant painter, Lu Li, goes undercover in a powerful corporation to solve his parents’ murder and gets close to the chairman’s secretive daughter, Qin Yuebai. As they uncover each other’s true identities, their dangerous alliance turns into a deep love that helps them heal and find redemption together.",1.9653,/uopXJyLqDIfAMdckHf4Y8PFukgA.jpg,[],"[{'iso_3166_1': 'CN', 'name': 'China'}]","[{'air_date': '2025-07-09', 'episode_count': 20, 'id': 434393, 'name': 'Season 1', 'overview': '', 'poster_path': '/yeu987di1kmMlBnqu7nuwcobgfG.jpg', 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Ended,,Scripted,10,1
FALSE,/F8UN4ncr28FCfqK9i8312wtE9G.jpg,"[{'id': 2901484, 'credit_id': '686b59cd82737718d851df64', 'name': 'Vitaly Babenko', 'original_name': 'Vitaly Babenko', 'gender': 2, 'profile_path': '/1gpCEuYYLDd9VAbcp367WBszrXE.jpg'}, {'id': 2242116, 'credit_id': '686b59f0b8e689a75953fe59', 'name': 'Елена Строгалева', 'original_name': 'Елена Строгалева', 'gender': 0, 'profile_path': None}, {'id': 5548951, 'credit_id': '686b5a11df11df65fa5401a5', 'name': 'Murat Mezhiev', 'original_name': 'Мурат Межиев', 'gender': 2, 'profile_path': None}, {'id': 5548952, 'credit_id': '686b5a29fa5d5ae83fa958a0', 'name': 'Ксения Маслова', 'original_name': 'Ксения Маслова', 'gender': 0, 'profile_path': None}, {'id': 2220402, 'credit_id': '686b5a43e43369073151df7f', 'name': 'Alexey Chintsov', 'original_name': 'Алексей Чинцов', 'gender': 2, 'profile_path': '/wBcRz23CuMruXI9HdRLa4wozqK0.jpg'}]",[],2023-12-16,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,295513,FALSE,['ru'],2023-12-16,"{'id': 6363716, 'name': 'Episode 1', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2023-12-16', 'episode_number': 1, 'episode_type': 'standard', 'production_code': '', 'runtime': None, 'season_number': 1, 'show_id': 295513, 'still_path': None}",Заговор на одиночество,,[],1,1,['RU'],ru,Заговор на одиночество,,0.1564,/lgdjDfkRSIcXkuV4IrzkDImWb9i.jpg,"[{'id': 147068, 'logo_path': None, 'name': 'Продюсерский центр Браво', 'origin_country': ''}, {'id': 69587, 'logo_path': '/u0Jy8wJ05m3MZCNiba1EXgf0zoK.png', 'name': 'Russia-1', 'origin_country': 'RU'}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]","[{'air_date': '2023-12-16', 'episode_count': 1, 'id': 464335, 'name': 'Season 1', 'overview': '', 'poster_path': None, 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Ended,,Scripted,0,0
FALSE,/rfwcPd5z1vWlRNkmOr6ivDiTTfa.jpg,[],[100],2022-11-11,"[{'id': 10764, 'name': 'Reality'}]",,214199,TRUE,['zh'],2023-02-03,"{'id': 4047583, 'name': 'Episode 12', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2023-02-03', 'episode_number': 12, 'episode_type': 'standard', 'production_code': '', 'runtime': None, 'season_number': 1, 'show_id': 214199, 'still_path': '/m2GgoyAb5JYVpci4du0Wuf3hcJR.jpg'}",Seaside Band,,"[{'id': 1631, 'logo_path': '/c6GPQWwbXDuD59pGGutCBQ1T711.png', 'name': 'Mango TV', 'origin_country': 'CN'}]",12,1,['CN'],zh,乐队的海边,"Girls with music genes formed the band, and in 21 days, came to start a music restaurant. They will do all the work in the restaurant and heal the guests each night with their music. And all of their living expenses will come from the income of the restaurant. In addition to laughing, they will present a gentle and powerful comeback against all the difficulties.",3.813,/v9BgHjfKFddPBf1uB3u7DB0JKUx.jpg,[],[],"[{'air_date': '2022-11-09', 'episode_count': 38, 'id': 315865, 'name': 'Specials', 'overview': '', 'poster_path': '/BCtC8cjYr7gM9G2lX3MLxRd3vk.jpg', 'season_number': 0, 'vote_average': 0.0}, {'air_date': '2022-11-11', 'episode_count': 12, 'id': 315861, 'name': 'Season 1', 'overview': '', 'poster_path': '/o5LvDikCApc7skEDxSM3l0OnnTA.jpg', 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Returning Series,,Reality,4,1
FALSE,/dgVTjs35P7xL6AtwVXOL8D8upoT.jpg,"[{'id': 4410, 'credit_id': '601dc946f495ee0040b34ca2', 'name': 'Roberto Rossellini', 'original_name': 'Roberto Rossellini', 'gender': 2, 'profile_path': '/dEfCuU0CoIqhgoEDtHZpIoNWNVj.jpg'}]",[68],1969-04-06,"[{'id': 18, 'name': 'Drama'}]",,77106,FALSE,"['it', 'la']",1969-05-04,"{'id': 1432758, 'name': 'Episode 5', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '1969-05-04', 'episode_number': 5, 'episode_type': 'finale', 'production_code': '', 'runtime': 68, 'season_number': 1, 'show_id': 77106, 'still_path': None}",Acts of the Apostles,,"[{'id': 533, 'logo_path': '/pLsnP0qF90P4QAXTKGPgDsftKDl.png', 'name': 'Rai 1', 'origin_country': 'IT'}]",5,1,['IT'],it,Atti degli apostoli,"This dramatization from the New Testament originated as a 342-minute, five-part television mini-series; it was subsequently released in a shortened, 280-minute version. In part one, the Apostles call the pilgrims of Jerusalem to be baptized, and Peter (Jacques Dumur) and John (Mohamed Kouka) are arrested by the Sanhedrin but later set free. In part two, Stephen (Zignani Houcine) is stoned for disobeying Mosaic Law, Philip (Bepy Mannaiuolo) baptizes an Ethiopian eunuch, and Saul (Edoardo Torricella) is blinded by the Lord while journeying to Damascus. In part three, Peter baptizes a centurion and Saul, renamed Paul, makes his first mission journey from Antioch in Syria to Pisidian Antioch. In part four, Paul preaches the equality before God of both the circumcised and uncircumcised. In part five, Paul is arrested in Jerusalem and sent to stand trial in Rome.",0.622,/duZvi92AVQFAEsM7LfZctLTiOhr.jpg,"[{'id': 2489, 'logo_path': None, 'name': 'Orizzonte 2000', 'origin_country': 'IT'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]","[{'air_date': '1969-04-06', 'episode_count': 5, 'id': 99370, 'name': 'Miniseries', 'overview': '', 'poster_path': None, 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}]",Ended,,Miniseries,5.1,4
